url,date,source,class
https://x.com/i/status/2068426491507937541,,twitter,O
https://x.com/i/status/2068483908950245516,,twitter,O
https://x.com/i/status/2068725606284431398,,twitter,O
https://x.com/i/status/2068860281531376065,,twitter,O
https://x.com/i/status/2068859582353453522,,twitter,O
https://x.com/i/status/2068859355227664688,,twitter,O
https://x.com/i/status/2068734235486101896,,twitter,O
https://x.com/i/status/2068897724850647398,,twitter,O
https://x.com/i/status/2068726241201459517,,twitter,D
https://x.com/i/status/2068822531256021327,,twitter,O
https://x.com/i/status/2069167050354835503,2026-06-26T21:51:31,twitter,A
https://x.com/i/status/2070043630832877979,,twitter,O
https://x.com/i/status/2069497635350696043,2026-06-27T10:00:33,twitter,A
https://x.com/i/status/2069498298168148210,2026-06-27T10:12:58,twitter,A
https://x.com/i/status/2069608717654351901,2026-06-29T00:49:07,twitter,A
https://x.com/i/status/2068945134490644560,2026-06-29T06:55:28,twitter,A
https://x.com/i/status/2068831225272279190,2026-07-08T13:41:48,twitter,A
https://x.com/i/status/2068676708031467723,2026-07-09T07:46:25,twitter,A
https://x.com/i/status/2066634097011638692,2026-07-10T01:47:07,twitter,A
https://x.com/i/status/2066604245843927441,2026-07-10T02:01:22,twitter,A
https://x.com/i/status/2066572858755621260,0000-00-00,twitter,A
https://x.com/i/status/2066370624155500639,2026-07-10T16:45:59,twitter,A
https://x.com/i/status/2069531245827293268,,twitter,D
https://x.com/i/status/2069991901596614684,,twitter,O
https://x.com/i/status/2069977119845945819,,twitter,O
https://x.com/i/status/2069531868031316362,,twitter,O
https://x.com/i/status/2069956486533398568,,twitter,O
https://x.com/i/status/2070122610307088443,,twitter,O
https://x.com/i/status/2069430996160692474,,twitter,O
https://x.com/i/status/2069940757125886446,,twitter,O
https://x.com/i/status/2065420142461264382,2026-07-11T09:21:16,twitter,A
https://x.com/i/status/2065419878387868037,2026-07-12T09:16:31,twitter,A
https://x.com/i/status/2065419273648926808,2026-07-14T21:44:46,twitter,A
https://x.com/i/status/2064799879637922213,2026-07-19T15:02:18,twitter,A
https://x.com/i/status/2063056356441993706,0000-00-00,twitter,A
https://x.com/i/status/2069684539895521704,,twitter,D
https://x.com/i/status/2069563704148979749,,twitter,O
https://x.com/i/status/1976528119621366245,,twitter,O
https://x.com/i/status/1971268680182006015,,twitter,D
https://x.com/i/status/2070388783569383902,,twitter,O
https://x.com/i/status/2070431122350125497,,twitter,D
https://x.com/i/status/2070389806572736749,,twitter,O
https://x.com/i/status/2070400941988495801,,twitter,O
https://x.com/i/status/2070400784228106530,,twitter,O
https://x.com/i/status/2070400632239034495,,twitter,O
https://x.com/i/status/2070400114829734364,,twitter,O
https://x.com/i/status/2070398778323112315,,twitter,O
https://x.com/i/status/2070391615760584923,,twitter,O
https://x.com/i/status/2070389105868116147,,twitter,O
https://x.com/i/status/2070046791303872940,,twitter,O
https://x.com/i/status/2070046057820831941,,twitter,O
https://x.com/i/status/2069968348507455550,,twitter,O
https://x.com/i/status/2069922490546077859,,twitter,O
https://x.com/i/status/2070033968913932354,,twitter,O
https://x.com/i/status/1942662519606202465,,twitter,O
https://x.com/i/status/2069819839829377118,,twitter,D
https://x.com/i/status/2069787763466018904,,twitter,O
https://x.com/i/status/2069773902838935911,2026-07-20T12:08:17,twitter,A
https://x.com/i/status/2050678609883398253,2026-07-21T22:36:05,twitter,A
https://x.com/i/status/2062952625834795181,2026-07-23T09:33:16,twitter,A
https://x.com/i/status/1986440594072195501,2026-07-23T18:09:54,twitter,A
https://x.com/i/status/2054987886140002599,2026-07-23T21:45:20,twitter,A
https://x.com/i/status/2057189715485274541,2026-07-25T08:26:58,twitter,A
https://x.com/i/status/2067811191276392501,,twitter,H
https://x.com/i/status/2068397046533382300,,twitter,H
https://x.com/i/status/1971626459673530613,,twitter,H
https://x.com/i/status/1958745873921516000,,twitter,H
https://x.com/i/status/2057072597053923631,,twitter,H
https://x.com/i/status/1942905656929079633,,twitter,H
https://x.com/i/status/2070436604750008506,,twitter,H
https://x.com/i/status/2070578158001148014,,twitter,O
https://x.com/i/status/2069958108932104584,,twitter,O
https://x.com/i/status/2069950624276377874,,twitter,O
https://x.com/i/status/2054902085536117082,,twitter,O
https://x.com/i/status/2056515403967287601,,twitter,O
https://x.com/i/status/2070501701228917218,,twitter,O
https://x.com/i/status/2070638988764004649,,twitter,O
https://x.com/i/status/2070643266895192358,,twitter,O
https://x.com/i/status/2071135939091468314,,twitter,O
https://x.com/i/status/2062536445026291952,,twitter,O
https://x.com/i/status/2070293643680735497,,twitter,O
https://x.com/i/status/2071544327369887774,,twitter,O
https://x.com/i/status/2007921705118036331,,twitter,O
https://x.com/i/status/2066179548215967866,,twitter,H
https://x.com/i/status/1877066430853562753,,twitter,D
https://x.com/i/status/2077818508394783058,,twitter,O
https://x.com/i/status/2077673919469776936,,twitter,O
https://x.com/i/status/2077234532848193803,,twitter,O
https://x.com/i/status/2077393446566875334,,twitter,O
https://x.com/i/status/2077398700863697369,,twitter,O
https://x.com/i/status/2076795832079192551,,twitter,O
https://x.com/i/status/1976412187976679789,,twitter,O
https://x.com/i/status/2076312832870642094,,twitter,O
https://x.com/i/status/1924976042399146108,,twitter,H
https://x.com/i/status/2078057497307295940,,twitter,O
https://x.com/i/status/2056117807285203410,,twitter,O
https://x.com/i/status/2078760850890928271,,twitter,O
https://x.com/i/status/2078661100745244997,,twitter,O
https://x.com/i/status/2077807016630796658,,twitter,O
https://x.com/i/status/2010074407428137418,,twitter,O
https://x.com/i/status/1929197725431529605,,twitter,H
https://x.com/i/status/2077665280101073009,,twitter,D
https://x.com/i/status/2046600156837974198,,twitter,A
https://x.com/i/status/2019980805305717037,,twitter,H
https://x.com/i/status/2020508785643581579,,twitter,D
https://x.com/i/status/2052230558101471502,,twitter,D
https://x.com/i/status/2008988650663764360,,twitter,D
https://x.com/i/status/2079709757036720275,,twitter,O
https://x.com/i/status/2080041920865431697,,twitter,O
https://x.com/i/status/1943437020367372640,,twitter,H
https://x.com/i/status/2080354849267351630,,twitter,O
https://x.com/i/status/2080456117629620313,,twitter,H
https://x.com/i/status/2034071935991099488,,twitter,H
https://x.com/i/status/2080181287864664403,,twitter,D
https://x.com/i/status/2080228854086410466,,twitter,O
https://x.com/i/status/2080025261643362531,,twitter,A
https://x.com/i/status/2078483392157393393,,twitter,D
https://x.com/i/status/2050748700255822198,,twitter,A
